,StructureSingleH2Y,StructureSingleX2Y,noise,proposed_model_error,Normal_DNN_error,Extra_DNN_error,proposed_model_error_new,Normal_DNN_error_new,Extra_DNN_error_new,,
0,"[80, 40, 40, 20]","[80, 40, 40, 20]",0,"(0.0158112, 0.016214827)","(0.021349274, 0.02149203)","(0.0147646945, 0.014090226)",0.016214827,0.02149203,0.014090226,,
0,"[80, 40, 40, 20]","[80, 40, 40, 20]",0.25,"(0.018711517, 0.018044848)","(0.019448545, 0.01986447)","(0.014528597, 0.013380083)",0.018044848,0.01986447,0.013380083,0.101415152,-0.08193322
1,"[80, 40, 40, 20]","[80, 40, 40, 20]",0.5,"(0.018304337, 0.017188024)","(0.018932302, 0.020225098)","(0.014930849, 0.013921402)",0.017188024,0.020225098,0.013921402,0.056620645,0.017830717
2,"[80, 40, 40, 20]","[80, 40, 40, 20]",0.75,"(0.019697314, 0.0194466)","(0.019896721, 0.019362206)","(0.01463762, 0.013587329)",0.0194466,0.019362206,0.013587329,0.166187046,-0.04456579
3,"[80, 40, 40, 20]","[80, 40, 40, 20]",1,"(0.016726527, 0.018668197)","(0.020946076, 0.020272348)","(0.014013824, 0.014280013)",0.018668197,0.020272348,0.014280013,0.131419762,0.044895737
5,"[120, 80, 60, 40]","[50, 40, 30, 20]",0,"(0.016451087, 0.016899453)","(0.022197718, 0.02207944)","(0.014489057, 0.014001555)",0.016899453,0.02207944,0.014001555,,
4,"[120, 80, 60, 40]","[50, 40, 30, 20]",0.25,"(0.020751383, 0.022379247)","(0.020014038, 0.019691039)","(0.4649331, 0.4556402)",0.022379247,0.019691039,0.4556402,0.324258661,0.406346581
5,"[120, 80, 60, 40]","[50, 40, 30, 20]",0.5,"(0.020013811, 0.01964377)","(0.019570403, 0.01886413)","(0.01583119, 0.014270531)",0.01964377,0.01886413,0.014270531,0.162390877,0.347288212
6,"[120, 80, 60, 40]","[50, 40, 30, 20]",0.75,"(0.015744176, 0.01561163)","(0.02125321, 0.020937055)","(0.0150024835, 0.014791806)",0.01561163,0.020937055,0.014791806,-0.076205011,0.495337839
7,"[120, 80, 60, 40]","[50, 40, 30, 20]",1,"(0.01930271, 0.01957047)","(0.020992775, 0.020862889)","(0.014259093, 0.013921765)",0.01957047,0.020862889,0.013921765,0.158053459,0.490040856
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
